"Time (s)","Illuminance (lx)"
6.167413390E1,2.680000000E2
6.194079649E1,2.750000000E2
6.260775816E1,2.680000000E2
6.274096739E1,2.750000000E2
6.287432921E1,2.680000000E2
6.300762999E1,2.750000000E2
6.354110808E1,2.680000000E2
6.367450041E1,2.750000000E2
6.394137663E1,2.680000000E2
6.420813078E1,2.750000000E2
6.434140105E1,2.680000000E2
6.447461028E1,2.750000000E2
6.460800261E1,2.680000000E2
6.474133391E1,2.750000000E2
6.514157195E1,2.680000000E2
6.540826506E1,2.750000000E2
6.594180388E1,2.680000000E2
6.647503752E1,2.750000000E2
6.674191374E1,2.680000000E2
6.687512297E1,2.750000000E2
6.700848479E1,2.680000000E2
6.727529997E1,2.750000000E2
6.740860075E1,2.680000000E2
6.754202361E1,2.750000000E2
6.767541594E1,2.550000000E2
6.780877776E1,2.270000000E2
6.794201750E1,1.990000000E2
6.807540984E1,1.930000000E2
6.820889372E1,1.860000000E2
6.834210295E1,1.990000000E2
